DATE_KEY,Year,Quarter,Month,Day,Sum of DAY,Sum of MONTH,MONTH_NAME,Sum of QUARTER,Sum of YEAR,DAY_NAME
a9cd7a99d71cca9cb644010050374ade,2013,Qtr 4,December,10,10,12,Decth,4,2013,Day
a9cefc49af6424b430612adfc69876ee,2013,Qtr 2,April,19,19,4,Aprth,2,2013,Day
aa06fa50828269965eade0f7422d1b9e,2012,Qtr 1,March,4,4,3,Marth,1,2012,Day
aa14ddbc43aa2d3be1e6ac019bb7b5bc,2013,Qtr 4,December,24,24,12,Decth,4,2013,Day
aa23a148fd157c87970b5fa9079424f9,2011,Qtr 1,March,9,9,3,Marth,1,2011,Day
aa42aae45cd2488a20db2ff74ed044f7,2012,Qtr 4,November,19,19,11,Novth,4,2012,Day
aa4ae995295bc6ee1d97c709a638619d,2012,Qtr 1,January,24,24,1,Janth,1,2012,Day
aa79d369c30c2b1258b3d47e8c10d56a,2011,Qtr 1,March,3,3,3,Marth,1,2011,Day
aaa07e52f0e1bae006632f510c91ec56,2011,Qtr 3,August,19,19,8,Augth,3,2011,Day
aae455c4d64d3ffe63d05cfe29e8fcdd,2011,Qtr 4,October,27,27,10,Octth,4,2011,Day
ab121e91b47aaffbbc247dca4687f0f0,2011,Qtr 4,November,21,21,11,Novth,4,2011,Day
ab2e81a99745ffff6c06e2be93290d1b,2013,Qtr 1,March,21,21,3,Marth,1,2013,Day
