DATE_KEY,Year,Quarter,Month,Day,Sum of DAY,Sum of MONTH,MONTH_NAME,Sum of QUARTER,Sum of YEAR,DAY_NAME
7c40e129a5bf240aced0b415e4bf9991,2011,Qtr 2,April,9,9,4,Aprth,2,2011,Day
7c461b9e57346f51c212a91b3cf92bfc,2012,Qtr 2,June,14,14,6,Junth,2,2012,Day
7c5572d8ea7717eb416a5478b1b0056f,2012,Qtr 3,September,13,13,9,Septh,3,2012,Day
7c6ed2fd0e84c7cd553d96c2aa5b74bf,2012,Qtr 2,April,3,3,4,Aprth,2,2012,Day
7cfccbeb91431429b23b0e41a99488f0,2012,Qtr 2,May,13,13,5,Mayth,2,2012,Day
7db2c3979b26317fc94657585dda1256,2012,Qtr 2,April,7,7,4,Aprth,2,2012,Day
7dc1c03103798a474aa763047623df54,2012,Qtr 4,December,9,9,12,Decth,4,2012,Day
7dcc4d0bd00b29e904618bdf6adc66e9,2012,Qtr 1,January,28,28,1,Janth,1,2012,Day
7de904cde4fa8a64f25573759fca404f,2011,Qtr 1,January,10,10,1,Janth,1,2011,Day
7e15f50bd26e439e6a22f5205a8064db,2013,Qtr 4,October,18,18,10,Octth,4,2013,Day
7e7a9bb13ad063eb81a70efff24ca60a,2012,Qtr 2,June,5,5,6,Junth,2,2012,Day
7ee641303ef8d8b10d0ed00a060c73cc,2013,Qtr 3,July,20,20,7,Julth,3,2013,Day
7ef7447fc083981d7d520e8df45ac789,2012,Qtr 2,May,21,21,5,Mayth,2,2012,Day
7f026edc73bd4602381834e9b850d6c2,2013,Qtr 1,February,16,16,2,Febth,1,2013,Day
7f480de9e8eb6071d108895ecf71651d,2012,Qtr 4,November,22,22,11,Novth,4,2012,Day
7f9d156e18f1be5abef55a22081e71ce,2012,Qtr 1,February,9,9,2,Febth,1,2012,Day
7fe55f4f2e51708bd160778e5ef08685,2011,Qtr 4,December,15,15,12,Decth,4,2011,Day
8092e44fa2e2a2ee34e25210038fe274,2012,Qtr 4,November,24,24,11,Novth,4,2012,Day
80f25c69c14ab1aa6fbbadcbd5eaeded,2012,Qtr 1,March,12,12,3,Marth,1,2012,Day
813f26755901d08d11203eb467615b65,2012,Qtr 2,June,2,2,6,Junth,2,2012,Day
81a5d08c6beaeec9e42baae5d63dd780,2013,Qtr 3,August,12,12,8,Augth,3,2013,Day
81bc86cf34d9877f667e64ab0836fbc9,2011,Qtr 2,June,19,19,6,Junth,2,2011,Day
8242bea4faa7e8112c9c701d437fbe67,2012,Qtr 4,November,14,14,11,Novth,4,2012,Day
830e779850b1d58733a7ad711bf6b83f,2013,Qtr 2,May,2,2,5,Mayth,2,2013,Day
835541a7e1c5fe9f0e2f6dd4fa1b8864,2011,Qtr 2,May,10,10,5,Mayth,2,2011,Day
838eec1f117f2cab9e9c306f7efbff28,2014,Qtr 1,February,2,2,2,Febth,1,2014,Day
83d1ed00595e79ee5ea3797e97970fe8,2013,Qtr 4,November,7,7,11,Novth,4,2013,Day
83e0911c7df633c9fad72d0a891f5e14,2012,Qtr 3,July,21,21,7,Julth,3,2012,Day
83e4278f3d557c0bd5784b2bc83d617c,2012,Qtr 3,August,19,19,8,Augth,3,2012,Day
83fd58ad8dee673cf915b18f70b86416,2012,Qtr 1,March,30,30,3,Marth,1,2012,Day
8432e9be3a7a8a9212201edf8ef07c9f,2011,Qtr 4,November,18,18,11,Novth,4,2011,Day
84fa845331bd2bc65a54c460e17483e0,2012,Qtr 1,February,13,13,2,Febth,1,2012,Day
853665fc08fe34bcd66df57da6a82a16,2012,Qtr 4,December,17,17,12,Decth,4,2012,Day
855bbdd661d21a89b7ae61eaea270f2c,2011,Qtr 1,February,22,22,2,Febth,1,2011,Day
8592725b85eec4822018b8728dd5b88d,2014,Qtr 1,January,31,31,1,Janth,1,2014,Day
85a7e482ebe05716e5f3929bdbe4147c,2012,Qtr 1,March,13,13,3,Marth,1,2012,Day
85e7a76ab1d6d23e87ea418480d5ffe2,2011,Qtr 1,February,28,28,2,Febth,1,2011,Day
85f14990e454433586410bd10a64d585,2012,Qtr 1,March,27,27,3,Marth,1,2012,Day
86088cdbc16fb0d5afd262a9b229fed2,2011,Qtr 1,February,7,7,2,Febth,1,2011,Day
86bfb8ffc7a79e52d833cedce4d275bf,2013,Qtr 4,November,18,18,11,Novth,4,2013,Day
86cf66ad58c4073cc4d377971f1518f3,2011,Qtr 3,July,24,24,7,Julth,3,2011,Day
86e0fc464cbb08ae74bd039224afec9a,2013,Qtr 4,December,21,21,12,Decth,4,2013,Day
86e8658344547a7d34cd2bcd4750bd8f,2012,Qtr 3,August,3,3,8,Augth,3,2012,Day
870bd4f3713260418e4f342f31dc7e33,2013,Qtr 3,August,8,8,8,Augth,3,2013,Day
